,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tura,41.37,-73.41,304.82,51,20,3.6,US,1592679976
1,tura,-33.59,26.89,289.82,64,0,2.24,ZA,1592679401
2,tura,-33.7,-53.46,288.68,79,43,2.87,UY,1592679407
3,tura,-34.42,19.23,288.71,86,96,1.79,ZA,1592679622
4,tura,43.04,74.71,290.15,37,0,4.0,KZ,1592679728
5,tura,42.6,-73.97,305.93,57,29,2.45,US,1592679480
6,tura,71.97,102.5,286.54,59,89,6.52,RU,1592679540
7,tura,-33.65,115.33,278.15,69,0,2.98,AU,1592679593
8,tura,38.42,-121.42,299.82,49,1,3.1,US,1592679976
9,tura,-23.12,-134.97,297.54,84,95,5.75,PF,1592679620
10,tura,70.37,31.11,279.75,82,5,1.89,NO,1592679670
11,tura,-0.74,-90.35,298.15,69,40,8.7,EC,1592679977
12,tura,78.22,15.64,278.15,80,75,9.3,SJ,1592679626
13,tura,-54.8,-68.3,274.15,86,40,2.1,AR,1592679622
14,tura,39.89,4.27,295.15,83,20,3.1,ES,1592679977
15,tura,-3.8,102.27,297.76,88,100,1.87,ID,1592679685
16,tura,-0.6,73.08,301.69,73,100,2.72,MV,1592679653
17,tura,55.0,73.4,286.15,47,75,4.0,RU,1592679978
18,tura,60.92,-46.05,285.15,34,75,2.6,GL,1592679978
19,tura,49.49,105.92,288.84,79,100,3.45,MN,1592679564
20,tura,-33.01,17.94,288.15,87,96,2.6,ZA,1592679646
21,tura,64.5,-165.41,292.59,39,1,8.2,US,1592679410
22,tura,22.89,-109.91,304.26,45,5,3.6,MX,1592679572
23,tura,60.47,166.1,284.23,79,10,0.84,RU,1592679978
24,tura,64.38,-173.3,286.5,50,0,2.97,RU,1592679626
25,tura,34.64,-120.46,291.15,72,10,3.51,US,1592679624
26,tura,-2.02,147.27,300.23,76,0,0.23,PG,1592679613
27,tura,53.21,39.45,294.15,77,83,3.0,RU,1592679979
28,tura,-9.8,-139.03,299.63,78,8,7.35,PF,1592679622
29,tura,52.23,141.51,278.48,93,3,3.57,RU,1592679979
30,tura,68.5,14.83,290.93,52,0,5.36,NO,1592679979
31,tura,-20.41,57.7,296.15,60,20,6.2,MU,1592679343
32,tura,19.73,-155.09,299.15,61,1,3.1,US,1592679369
33,tura,-21.55,167.88,292.92,79,39,6.41,NC,1592679732
